basket_item_id,canonical_name_suggestion,product_title,product_url,category
1,chicken breast,H‑E‑B Natural Boneless Chicken Breasts,https://www.heb.com/product-detail/h-e-b-natural-boneless-chicken-breasts-avg-2-0-lbs/684852,poultry
2,"chicken breast, organic",Central Market Organic Air-Chilled Boneless Skinless Chicken Breasts,https://www.heb.com/product-detail/central-market-organic-air-chilled-boneless-skinless-chicken-breasts-avg-1-4-lbs/1109768,poultry
3,chicken breast tenderloins,H‑E‑B Natural Boneless Chicken Breast Tenders,https://www.heb.com/product-detail/h-e-b-natural-boneless-chicken-breast-tenders-avg-1-02-lbs/684580,poultry
5,chicken thighs,H‑E‑B Natural Boneless Skinless Chicken Thighs,https://www.heb.com/product-detail/h-e-b-natural-boneless-skinless-chicken-thighs-avg-2-0-lbs/790544,poultry
6,"chicken thighs, organic",Central Market Organic Air-Chilled Boneless Skinless Chicken Thighs,https://www.heb.com/product-detail/central-market-organic-air-chilled-boneless-skinless-chicken-thighs-avg-1-41-lbs/676991,poultry
7,"ground beef, 93/7","H‑E‑B 100% Pure Lean Ground Beef, 93% Lean",https://www.heb.com/product-detail/h-e-b-100-pure-lean-ground-beef-93-lean-avg-1-1-lbs/1265451,beef
9,"ground beef, 80/20","H‑E‑B 100% Pure Ground Beef Chuck, 80% Lean - Value Pack",https://www.heb.com/product-detail/h-e-b-100-pure-ground-beef-chuck-80-lean-value-pack-avg-1-9-lbs/635319,beef
10,"steak, ribeye","H‑E‑B Boneless Beef Ribeye Steaks, Thin Cut - USDA Choice",https://www.heb.com/product-detail/h-e-b-boneless-beef-ribeye-steaks-thin-cut-nbsp-usda-choice-avg-0-83-lb/4001002,beef
13,"beef short ribs, bone in",H‑E‑B Chuck Beef Short Ribs,https://www.heb.com/product-detail/h-e-b-chuck-beef-short-ribs-avg-1-9-lbs/1165372,beef
14,"frozen turkey, whole","H‑E‑B Natural Frozen Whole Young Turkey, 16 - 20 lbs",https://www.heb.com/product-detail/1493802,poultry
