basket_item_id,canonical_name,item_type,product_title,product_url
1,chicken breast,poultry,"Member's Mark Boneless and Skinless Chicken Breast, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Boneless-and-Skinless-Chicken-Breast-priced-per-pound/18999111186
2,"chicken breast, organic",poultry,"Member's Mark Organic Boneless and Skinless Chicken Breasts, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Organic-Boneless-and-Skinless-Chicken-Breasts-priced-per-pound/13632405327
3,chicken breast tenderloins,poultry,"Member's Mark Chicken Tenders, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Chicken-Tenders-priced-per-pound/19431268719
4,"chicken breast tenderloins, organic",poultry,"Member's Mark Organic Chicken Tenders, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Organic-Chicken-Tenders-priced-per-pound/13608463703
5,chicken thighs,poultry,"Member's Mark Boneless and Skinless Chicken Thighs, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Boneless-and-Skinless-Chicken-Thighs-priced-per-pound/19427824010
6,"chicken thighs, organic",poultry,"Member's Mark Organic Boneless Skinless Chicken Thighs, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Organic-Boneless-Skinless-Chicken-Thighs-priced-per-pound/13895606526
7,"ground beef, 93/7",beef,"Member's Mark 93/7 Ground Beef, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-93-7-Ground-Beef-priced-per-pound/13865573229
8,"ground beef, 90/10",beef,"Member's Mark 90/10 Ground Beef Roll, Vacuum Pack, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-90-10-Ground-Beef-Roll-Vacuum-Pack-priced-per-pound/21209400000
9,"ground beef, 80/20",beef,"Member's Mark 80/20 Ground Beef Roll, Vacuum Pack, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-80-20-Ground-Beef-Roll-Vacuum-Pack-priced-per-pound/21213000000
10,"steak, ribeye",beef,"Member's Mark USDA Choice Angus Beef Ribeye Steak, Thin Sliced, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-USDA-Choice-Angus-Beef-Ribeye-Steak-Thin-Sliced-priced-per-pound/13738870253
13,"beef short ribs, bone in",beef,"Member's Mark USDA Choice Angus Whole Beef Short Ribs, Bone-in, Cryovac, priced per pound, 2 per bag",https://www.samsclub.com/ip/Member-s-Mark-USDA-Choice-Angus-Whole-Beef-Short-Ribs-Bone-in-Cryovac-priced-per-pound-2-per-bag/13729961472
17,"bacon, hickory smoked",pork,"Member's Mark Restaurant Style Bacon, Hickory Smoked, 10lbs.",https://www.samsclub.com/ip/Member-s-Mark-Restaurant-Style-Bacon-Hickory-Smoked-10lbs/19335956735
20,"brisket, beef, angus",beef,"Member's Mark USDA Prime Angus Beef Boneless Whole Brisket, Vacuum Pack, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-USDA-Prime-Angus-Beef-Boneless-Whole-Brisket-Vacuum-Pack-priced-per-pound/13596802831
21,tilapia fillets,fish/seafood,"Member's Mark Farm Raised Tilapia Fillet, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Farm-Raised-Tilapia-Fillet-priced-per-pound/13882952248
22,tuna in water,fish/seafood,"Member's Mark Premium Solid White Albacore Tuna 5 oz., 8 pk.",https://www.samsclub.com/ip/Member-s-Mark-Premium-Solid-White-Albacore-Tuna-5-oz-8-pk/13888864101
23,"tuna in water, starkist",fish/seafood,"StarKist Chunk Light Tuna in Water, 2.6 oz., 10 pk.",https://www.samsclub.com/ip/StarKist-Chunk-Light-Tuna-in-Water-2-6-oz-10-pk/8000051716
25,ham,lunch meat,"Member's Mark Uncured Boneless Quarter Sliced Ham, priced per pound",https://www.samsclub.com/ip/Member-s-Mark-Uncured-Boneless-Quarter-Sliced-Ham-priced-per-pound/13627465985
