scrape_session_id,scrape_datetime,store_name,basket_item_id,canonical_name,product_url,product_title_raw,price_raw,old_price_raw,unit_price_raw,coupon_text_raw,coupon_value_raw,price_block_raw,price_context_raw,availability_raw,status
20260605_123224,2026-06-05 12:35:12,HEB,104,"cottage cheese, 2%",https://www.heb.com/product-detail/hill-country-fare-2-lowfat-small-curd-cottage-cheese-24-oz/3735526,Hill Country Fare 2% Lowfat Small Curd Cottage Cheese,$2.85,,$0.12/oz,,,$2.85 ($0.12 / oz),standard_price,in_stock,success
20260605_123224,2026-06-05 12:41:11,HEB,101,"almond milk, unsweetened, vanilla, almond breeze",https://www.heb.com/product-detail/blue-diamond-almond-breeze-original-unsweetened-almond-milk-1-2-gal/1417091,Blue Diamond Almond Breeze Original Unsweetened Almond Milk,$4.48,,$0.06/oz,,,Coupon $4.48,discounted,in_stock,success
20260605_123224,2026-06-05 13:13:09,HEB,102,"almond milk, unsweetened, vanilla",https://www.heb.com/product-detail/higher-harvest-by-h-e-b-non-dairy-unsweetened-vanilla-almond-milk-1-2-gal/9296133,Higher Harvest by H‑E‑B Non-Dairy Unsweetened Vanilla Almond Milk,$2.98,,$0.05/floz,20% off,20% off,Coupon $2.98,discounted,in_stock,success
20260605_123224,2026-06-05 13:15:44,HEB,105,"cottage cheese, 4%, daisy pure",https://www.heb.com/product-detail/daisy-small-curd-4-milkfat-minimum-cottage-cheese-16-oz/977111,Daisy Small Curd 4% Milkfat Minimum Cottage Cheese,$3.54,,$0.22/oz,,,$3.54 ($0.22 / oz),standard_price,in_stock,success
20260605_123224,2026-06-05 13:21:22,HEB,106,,https://www.heb.com/product-detail/hill-country-fare-4-small-curd-cottage-cheese-24-oz/3735530,Hill Country Fare 4% Small Curd Cottage Cheese,$2.85,,$0.12/oz,,,$2.85 ($0.12 / oz),standard_price,in_stock,success
20260605_123224,2026-06-05 13:27:40,HEB,107,"butter, unsalted",https://www.heb.com/product-detail/h-e-b-sweet-cream-unsalted-butter-sticks-4-ct/310756,H‑E‑B Sweet Cream Unsalted Butter Sticks,$3.78,$3.98,$0.24/oz,,,Price cut $3.98 $3.78,price_cut,in_stock,success
20260605_155248,2026-06-05 15:54:30,HEB,108,"butter, unsalted, kerrygold",https://www.heb.com/product-detail/kerrygold-unsalted-pure-irish-butter-sticks-4-ct/15349029,Kerrygold Unsalted Pure Irish Butter Sticks,$10.32,,$0.65/oz,,,$10.32 ($0.65 / oz),standard_price,unavailable,success
20260605_155248,2026-06-05 15:59:13,HEB,109,"vegan butter, salted, country crock",https://www.heb.com/product-detail/country-crock-dairy-free-unsalted-plant-butter-sticks-4-ct/15443534,Country Crock Dairy Free Unsalted Plant Butter Sticks,$3.97,,$0.25/oz,,,$3.97 ($0.25 / oz),standard_price,unavailable,success
20260605_155248,2026-06-05 16:05:27,HEB,110,"vegan butter, salted, earth balance",https://www.heb.com/product-detail/earth-balance-original-buttery-spread-15-oz/477544,Earth Balance Original Buttery Spread,$3.98,,$0.27/oz,,,$3.98 ($0.27 / oz),standard_price,in_stock,success
20260605_155248,2026-06-05 16:09:54,HEB,112,"vegan cheese, cheddar, shredded",https://www.heb.com/product-detail/higher-harvest-by-h-e-b-plant-based-shredded-cheddar-cheese-7-oz/12467516,Higher Harvest by H‑E‑B Plant Based Shredded Cheddar Cheese,$3.46,,$0.49/oz,20% off,20% off,Coupon $3.46,discounted,unavailable,success
20260605_155248,2026-06-05 16:14:48,HEB,113,"vegan cheese, cheddar, shredded, violife",https://www.heb.com/product-detail/violife-just-like-cheddar-shreds-dairy-free-cheese-alternative-8-oz/2849095,Violife Just Like Cheddar Shreds Dairy Free Cheese Alternative,$3.46,,$0.62/oz,,,Coupon $3.46,discounted,in_stock,success
20260605_155248,2026-06-05 16:19:03,HEB,114,"vegan cheese, cheddar, shredded, daiya",https://www.heb.com/product-detail/daiya-dairy-free-cheddar-style-cheese-shreds/1484649,Daiya Dairy Free Cheddar Style Cheese Shreds,$3.46,,$0.70/oz,,,Coupon $3.46,discounted,in_stock,success
20260605_155248,2026-06-05 16:23:17,HEB,115,"cheese, mild cheddar, shredded",https://www.heb.com/product-detail/h-e-b-mild-cheddar-shredded-cheese-8-oz/127182,H‑E‑B Mild Cheddar Shredded Cheese,$2.98,,,,,Sale $2.98,sale_price,in_stock,success
