scrape_session_id,scrape_datetime,store_name,basket_item_id,canonical_name,product_url,product_title_raw,price_raw,unit_price_raw,price_block_raw,price_context_raw,availability_raw,status
20260519_093450,2026-05-19 09:34:50,Sam's Club,1,chicken breast,https://www.samsclub.com/ip/Member-s-Mark-Boneless-and-Skinless-Chicken-Breast-priced-per-pound/18999111186,"Member's Mark Boneless and Skinless Chicken Breast, priced per pound",$16.56,$2.88/lb,$16.56 $2.88/lb,standard_price,in_stock,success
20260519_094936,2026-05-19 09:52:19,Sam's Club,2,"chicken breast, organic",https://www.samsclub.com/ip/Member-s-Mark-Organic-Boneless-and-Skinless-Chicken-Breasts-priced-per-pound/13632405327,"Member's Mark Organic Boneless and Skinless Chicken Breasts, priced per pound",$28.14,$5.36/lb,$28.14 $5.36/lb,final_cost_by_weight|rollback_or_sale_price|discounted,in_stock,success
20260519_095741,2026-05-19 09:57:41,Sam's Club,3,chicken breast tenderloins,https://www.samsclub.com/ip/Member-s-Mark-Chicken-Tenders-priced-per-pound/19431268719,"Member's Mark Chicken Tenders, priced per pound",$20.41,$3.88/lb,$20.41 $3.88/lb,standard_price,in_stock,success
20260519_095808,2026-05-19 10:01:13,Sam's Club,4,"chicken breast tenderloins, organic",https://www.samsclub.com/ip/Member-s-Mark-Organic-Chicken-Tenders-priced-per-pound/13608463703,"Member's Mark Organic Chicken Tenders, priced per pound",$28.41,$5.98/lb,$28.41 $5.98/lb,final_cost_by_weight|rollback_or_sale_price|discounted,in_stock,success
20260519_101417,2026-05-19 10:17:31,Sam's Club,5,chicken thighs,https://www.samsclub.com/ip/Member-s-Mark-Boneless-and-Skinless-Chicken-Thighs-priced-per-pound/19427824010,"Member's Mark Boneless and Skinless Chicken Thighs, priced per pound",$19.52,$3.48/lb,$19.52 $3.48/lb,final_cost_by_weight|rollback_or_sale_price|discounted,in_stock,success
20260519_101417,2026-05-19 10:37:12,Sam's Club,9,"ground beef, 80/20",https://www.samsclub.com/ip/Member-s-Mark-80-20-Ground-Beef-Roll-Vacuum-Pack-priced-per-pound/21213000000,"Member's Mark 80/20 Ground Beef Roll, Vacuum Pack, priced per pound",$59.88,$5.56/lb,$59.88 $5.56/lb,final_cost_by_weight|rollback_or_sale_price|discounted|sale_price,in_stock,success
20260519_101417,2026-05-19 10:40:58,Sam's Club,10,"steak, ribeye",https://www.samsclub.com/ip/Member-s-Mark-USDA-Choice-Angus-Beef-Ribeye-Steak-Thin-Sliced-priced-per-pound/13738870253,"Member's Mark USDA Choice Angus Beef Ribeye Steak, Thin Sliced, priced per pound",$52.40,$14.97/lb,$52.40 $14.97/lb,final_cost_by_weight|rollback_or_sale_price,in_stock,success
20260519_101417,2026-05-19 10:55:46,Sam's Club,20,"brisket, beef, angus",https://www.samsclub.com/ip/Member-s-Mark-USDA-Prime-Angus-Beef-Boneless-Whole-Brisket-Vacuum-Pack-priced-per-pound/13596802831,"Member's Mark USDA Prime Angus Beef Boneless Whole Brisket, Vacuum Pack, priced per pound",$93.65,$5.98/lb,$93.65 $5.98/lb,final_cost_by_weight|rollback_or_sale_price|discounted,in_stock,success
20260519_101417,2026-05-19 11:07:23,Sam's Club,21,tilapia fillets,https://www.samsclub.com/ip/Member-s-Mark-Farm-Raised-Tilapia-Fillet-priced-per-pound/13882952248,"Member's Mark Farm Raised Tilapia Fillet, priced per pound",$19.24,$7.26/lb,$19.24 $7.26/lb,final_cost_by_weight|rollback_or_sale_price,in_stock,success
20260519_101417,2026-05-19 11:11:20,Sam's Club,22,tuna in water,https://www.samsclub.com/ip/Member-s-Mark-Premium-Solid-White-Albacore-Tuna-5-oz-8-pk/13888864101,"Member's Mark Premium Solid White Albacore Tuna 5 oz., 8 pk.",$12.98,$0.32/oz,$12.98 $0.32/oz,rollback_or_sale_price|discounted,in_stock,success
