scrape_session_id,scrape_datetime,store_name,basket_item_id,canonical_name,product_url,product_title_raw,price_raw,old_price_raw,unit_price_raw,price_block_raw,price_context_raw,availability_raw,status
20260530_133724,2026-05-30 13:37:24,Walmart,1,chicken breast,https://www.walmart.com/ip/Boneless-Skinless-Chicken-Breasts-4-7-6-1-lb-Tray/27935840,"Freshness Guaranteed Boneless, Skinless Chicken Breasts, 4.7-6.1 lb Tray",$11.92,,$2.57/lb,$11.92 $2.57/lb | Final cost by weight,final_cost_by_weight,in_stock,success
20260530_134355,2026-05-30 13:43:55,Walmart,3,chicken breast tenderloins,https://www.walmart.com/ip/Freshness-Guaranteed-Chicken-Breast-Tenderloins-2-25-3-2-lb-Tray/617765768,"Freshness Guaranteed Chicken Breast Tenderloins, 2.0 - 3.0 lb Tray",$9.93,,$4.12/lb,$9.93 $4.12/lb | Final cost by weight,final_cost_by_weight,in_stock,success
20260530_163344,2026-05-30 16:33:44,Walmart,5,chicken thighs,https://www.walmart.com/ip/Freshness-Guaranteed-Boneless-Skinless-Chicken-Thighs-2-75-4-0-lb-Tray/778091348,"Freshness Guaranteed Boneless Skinless Chicken Thighs, 2.75 - 4.0 lb Tray",$10.23,,$3.72/lb,$10.23 $3.72/lb | Final cost by weight,final_cost_by_weight,in_stock,success
20260530_163344,2026-05-30 16:43:55,Walmart,7,"ground beef, 93/7",https://www.walmart.com/ip/93-Lean-7-Fat-Lean-Ground-Beef-1-lb-Tray-Fresh-All-Natural/824841960,"All Natural* 93% Lean/7% Fat Lean Ground Beef, 1 lb Tray",$7.97,,$7.97/lb,$7.97 $7.97/lb,standard_price,in_stock,success
20260530_163344,2026-05-30 16:49:13,Walmart,9,"ground beef, 80/20",https://www.walmart.com/ip/80-Lean-20-Fat-Ground-Beef-Chuck-1-lb-Tray-Fresh-All-Natural/479601462,"All Natural* 80% Lean/20% Fat Ground Beef Chuck, 1 lb Tray",$7.73,,$7.73/lb,$7.73 $7.73/lb,standard_price,in_stock,success
20260530_163344,2026-05-30 16:54:43,Walmart,10,"steak, ribeye",https://www.walmart.com/ip/Ribeye-Steak-Choice-Angus-Beef-2-Per-Tray-1-50-2-65-lb/21553590,"Ribeye Steak, Choice Angus Beef, 2 Per Tray, 1.50 - 2.65 lb",$34.35,,$19.97/lb,$34.35 $19.97/lb | Final cost by weight,final_cost_by_weight,in_stock,success
20260530_163344,2026-05-30 17:00:12,Walmart,13,"beef short ribs, bone in",https://www.walmart.com/ip/Whole-Muscle-Beef-Prime-Rib-Short-Rib-Flnkn-Cut/18933817638,"McClaren Farms Bone-In Cowboy-Cut Short Ribs, Prime Beef, 2-4 lb",$18.35,,$7.34/lb,$18.35 $7.34/lb | Final cost by weight,final_cost_by_weight,in_stock,success
20260530_163344,2026-05-30 17:05:40,Walmart,14,"frozen turkey, whole",https://www.walmart.com/ip/JENNIE-O-Premium-Frozen-Turkey-Refrigerated-16-24-lb/32264438,"JENNIE-O Frozen Turkey, 16-24 Pounds, Serves 11 to 17",$1224,,84.0¢/lb,Now$1224,rollback_or_sale_price,in_stock,success
20260530_163344,2026-05-30 17:21:44,Walmart,16,"hickory sliced ham, smithfield",https://www.walmart.com/ip/Smithfield-Pork-Cooked-Boneless-Hickory-Smoked-Quarter-Sliced-Ham-2-2-75lbs/21556278,"Smithfield, Pork, Cooked, Boneless, Hickory Smoked Quarter Sliced Ham, 1.5 -3lbs",$11.93,,$4.77/lb,$11.93 $4.77/lb | Final cost by weight,final_cost_by_weight,in_stock,success
20260530_163344,2026-05-30 17:29:44,Walmart,17,"bacon, hickory smoked",https://www.walmart.com/ip/Great-Value-Hickory-Smoked-Bacon-16-oz/10293911,"Great Value Naturally Hickory Smoked Sliced Bacon, 16 oz",$4.18,,$4.18/lb,$4.18 $4.18/lb,standard_price,in_stock,success
